Tischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN DNR Hydstra #,H02039008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCA Station ID,S004-364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Lab,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flow,Temp,DO,DO,EC25,TDS,chloride,Turbidity,Transparency,TSS,TVS,T-Solids-calc,pH,ANC,ortho-P,TP,TN,NO3/NO2-N,NH4-N,DIN,fecal coliform,BOD,NOTES,,,,,,,,,,
Stream,Date,Time,condition,Qualitative Flow ,(cfs),(oC),(mg/L),% sat,uS/cm ,(mg/L),(mg/L), NTU,tube (cm),(mg/L),(mg/L),(mg/L),lab,mg CaCO3/L,(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(cfu/100ml),(mg/L),,METADATA NOTES:,,,,,,,,,
Tischer Creek,4/1/07,9:30,"0.65"" rain 3/31-4/1",S,464,0.7,,,180,140,36,16.0,45,18,N/A,158,N/A,N/A,,80,,,,,,N/A,,,,,,,,,,,
Tischer Creek,4/3/07,10:30,"0.71"" rain",R,9,0.1,,,356,224,85,6.0,93,4,N/A,228,N/A,N/A,10,50,1114,417,93,510,6,N/A,,,,,,,,,,,
Tischer Creek,4/18/07,15:15,snowmelt-most snow gone,S,8,8.2,,,174,,60,2.7,>120,2,N/A,,N/A,N/A,,90,916,266,133,399,,N/A,,,,,,,,,,,
Tischer Creek,4/23/07,09:30,"1.11"" rain 4/22",R,244,4.7,,,115,,49,17.7,41,22,N/A,,N/A,N/A,10,40,1424,418,146,564,226,N/A,,,,,,,,,,,
Tischer Creek,4/26/07,11:30,falling hydrograph,B,8,7.6,,,365,,,2.5,>120,,N/A,,N/A,N/A,,,,,,,,N/A,,,,,,,,,,,
Tischer Creek,5/21/07,09:30,"0.76"" rain",R,8,6.8,,,272,,47,34.7,20,46,N/A,,N/A,N/A,,100,1037,382,161,543,760,N/A,,,,,,,,,,,
Tischer Creek,6/18/07,15:15,"1.09"" rain 6/17-6/18",R,169,17.6,,,191,,24,138.5,10,167,N/A,,N/A,N/A,,250,1253,256,47,303,,N/A,,,,,,,,,,,
Tischer Creek,7/2/07,12:10,"0.49"" rain",R,8,13.5,,,389,,63,21.4,23,23,N/A,,N/A,N/A,,90,962,315,112,427,,N/A,,,,,,,,,,,
Tischer Creek,8/23/07,13:45,low flow sample,B,4,,,,610,,,3.7,>120,16,,,,,,18,503,295,16,311,,,,,,,,,,,,,
Tischer Creek,8/27/07,08:45,"1.14"" rain",R,4,16.6,7.87,80.80,382,,64,16.0,47,12,,,,,,80,1117,512,46,558,20000,,,,,,,,,,,,
